Metadata.Timestamp,Metadata.Length,Metadata.CapLen,Ethernet.SrcMAC,Ethernet.DstMAC,Ethernet.EthernetType,Ethernet.Length,IPv4.IHL,IPv4.Protocol,IPv4.SrcIP,IPv4.DstIP,UDP.SrcPort,UDP.DstPort,UDP.Length,TCP.SrcPort,TCP.DstPort,TCP.Seq,TCP.Ack,TCP.DataOffset,TCP.FIN,TCP.SYN,TCP.RST,TCP.PSH,TCP.ACK,TCP.URG,Payload.Length,Payload.filter,Payload.tbd
1579296325864583,364,364,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.9.179.227,192.168.144.25,,,,5222(xmpp-client),44024,4253393966,2399466871,8,false,false,false,true,true,false,298,3c:3f:78:6d:6c:20:76:65:72:,
1579296325865970,60,60,00:16:6c:00:00:00,ff:ff:ff:ff:ff:ff,ARP,0,,,,,,,,,,,,,,,,,,,18,00:00:00:00:00:00:00:00:00:,
1579296325867494,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399466871,4253394264,8,false,false,false,false,true,false,,,
1579296325880088,117,117,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399466871,4253394264,8,false,false,false,true,true,false,51,3c:73:74:61:72:74:74:6c:73:,
1579296325937263,116,116,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.9.179.227,192.168.144.25,,,,5222(xmpp-client),44024,4253394264,2399466922,8,false,false,false,true,true,false,50,3c:70:72:6f:63:65:65:64:20:,
1579296325975042,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399466922,4253394314,8,false,false,false,false,true,false,,,
1579296326047251,288,288,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399466922,4253394314,8,false,false,false,true,true,false,222,16:03:01:00:d9:01:00:00:d5:,
1579296326105755,1514,1514,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.9.179.227,192.168.144.25,,,,5222(xmpp-client),44024,4253394314,2399467144,8,false,false,false,false,true,false,1448,16:03:01:00:3e:02:00:00:3a:,
1579296326105759,1514,1514,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.9.179.227,192.168.144.25,,,,5222(xmpp-client),44024,4253395762,2399467144,8,false,false,false,false,true,false,1448,04:03:00:46:30:44:02:20:76:,
1579296326105763,1514,1514,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.9.179.227,192.168.144.25,,,,5222(xmpp-client),44024,4253397210,2399467144,8,false,false,false,true,true,false,1448,95:59:4e:9c:03:36:06:f8:c0:,
1579296326105996,1514,1514,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.9.179.227,192.168.144.25,,,,5222(xmpp-client),44024,4253398658,2399467144,8,false,false,false,false,true,false,1448,20:43:65:72:74:69:66:69:63:,
1579296326105999,80,80,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.9.179.227,192.168.144.25,,,,5222(xmpp-client),44024,4253400106,2399467144,8,false,false,false,true,true,false,14,fd:9b:95:ea:68:16:03:01:00:,
1579296326110615,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399467144,4253395762,8,false,false,false,false,true,false,,,
1579296326110644,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399467144,4253397210,8,false,false,false,false,true,false,,,
1579296326110669,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399467144,4253398658,8,false,false,false,false,true,false,,,
1579296326110684,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399467144,4253400106,8,false,false,false,false,true,false,,,
1579296326142943,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399467144,4253400120,8,false,false,false,false,true,false,,,
1579296326177920,200,200,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399467144,4253400120,8,false,false,false,true,true,false,134,16:03:01:00:46:10:00:00:42:,
1579296326235406,125,125,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.9.179.227,192.168.144.25,,,,5222(xmpp-client),44024,4253400120,2399467278,8,false,false,false,true,true,false,59,14:03:01:00:01:01:16:03:01:,
1579296326237650,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399467278,4253400179,8,false,false,false,false,true,false,,,
1579296326241903,284,284,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399467278,4253400179,8,false,false,false,true,true,false,218,17:03:01:00:20:15:48:9e:8a:,
1579296326299104,295,295,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.9.179.227,192.168.144.25,,,,5222(xmpp-client),44024,4253400179,2399467496,8,false,false,false,true,true,false,229,17:03:01:00:e0:76:18:d8:31:,
1579296326299125,311,311,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.9.179.227,192.168.144.25,,,,5222(xmpp-client),44024,4253400408,2399467496,8,false,false,false,true,true,false,245,17:03:01:00:f0:bc:31:35:bd:,
1579296326304205,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399467496,4253400653,8,false,false,false,false,true,false,,,
1579296326305508,380,380,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399467496,4253400653,8,false,false,false,true,true,false,314,17:03:01:00:20:43:90:c8:18:,
1579296326362905,151,151,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.9.179.227,192.168.144.25,,,,5222(xmpp-client),44024,4253400653,2399467810,8,false,false,false,true,true,false,85,17:03:01:00:50:41:1a:de:01:,
1579296326377634,284,284,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399467810,4253400738,8,false,false,false,true,true,false,218,17:03:01:00:20:28:90:55:c7:,
1579296326434815,540,540,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.9.179.227,192.168.144.25,,,,5222(xmpp-client),44024,4253400738,2399468028,8,false,false,false,true,true,false,474,17:03:01:00:e0:0e:52:8c:a6:,
1579296326439464,252,252,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399468028,4253401212,8,false,false,false,true,true,false,186,17:03:01:00:20:c3:03:3a:5c:,
1579296326497711,247,247,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.9.179.227,192.168.144.25,,,,5222(xmpp-client),44024,4253401212,2399468214,8,false,false,false,true,true,false,181,17:03:01:00:b0:b9:08:13:d3:,
1579296326524809,220,220,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399468214,4253401393,8,false,false,false,true,true,false,154,17:03:01:00:20:68:1c:ce:03:,
1579296326581717,135,135,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.9.179.227,192.168.144.25,,,,5222(xmpp-client),44024,4253401393,2399468368,8,false,false,false,true,true,false,69,17:03:01:00:40:1f:90:bd:c2:,
1579296326592028,204,204,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399468368,4253401462,8,false,false,false,true,true,false,138,17:03:01:00:20:e4:e1:91:b6:,
1579296326604135,85,85,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,8.8.8.8,58479,53(domain),51,,,,,,,,,,,,,,
1579296326635104,117,117,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,UDP,8.8.8.8,192.168.144.25,53(domain),58479,83,,,,,,,,,,,,,,
1579296326644523,74,74,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.87.99.68,,,,56665,443(https),525527492,0,10,false,true,false,false,false,false,,,
1579296326649909,439,439,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.9.179.227,192.168.144.25,,,,5222(xmpp-client),44024,4253401462,2399468506,8,false,false,false,true,true,false,373,17:03:01:01:70:9a:f1:52:82:,
1579296326655093,518,518,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399468506,4253401835,8,false,false,false,true,true,false,452,17:03:01:00:20:d4:94:00:7b:,
1579296326667813,74,74,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.87.99.68,192.168.144.25,,,,443(https),56665,2882318439,525527493,10,false,true,false,false,true,false,,,
1579296326670039,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.87.99.68,,,,56665,443(https),525527493,2882318440,8,false,false,false,false,true,false,,,
1579296326734138,288,288,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.87.99.68,,,,56665,443(https),525527493,2882318440,8,false,false,false,true,true,false,222,16:03:01:00:d9:01:00:00:d5:,
1579296326736845,604,604,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.9.179.227,192.168.144.25,,,,5222(xmpp-client),44024,4253401835,2399468958,8,false,false,false,true,true,false,538,17:03:01:01:90:48:62:ea:67:,
1579296326756935,66,66,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.87.99.68,192.168.144.25,,,,443(https),56665,2882318440,525527715,8,false,false,false,false,true,false,,,
1579296326757346,1514,1514,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.87.99.68,192.168.144.25,,,,443(https),56665,2882318440,525527715,8,false,false,false,false,true,false,1448,16:03:01:00:59:02:00:00:55:,
1579296326757350,1514,1514,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.87.99.68,192.168.144.25,,,,443(https),56665,2882319888,525527715,8,false,false,false,false,true,false,1448,17:63:af:6d:29:20:51:87:4b:,
1579296326757625,1266,1266,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.87.99.68,192.168.144.25,,,,443(https),56665,2882321336,525527715,8,false,false,false,true,true,false,1200,06:03:55:04:03:13:10:41:6d:,
1579296326758365,1261,1261,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.87.99.68,192.168.144.25,,,,443(https),56665,2882322536,525527715,8,false,false,false,true,true,false,1195,76:69:63:65:73:20:52:6f:6f:,
1579296326770492,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.87.99.68,,,,56665,443(https),525527715,2882319888,8,false,false,false,false,true,false,,,
1579296326771393,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.87.99.68,,,,56665,443(https),525527715,2882321336,8,false,false,false,false,true,false,,,
1579296326771420,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.87.99.68,,,,56665,443(https),525527715,2882322536,8,false,false,false,false,true,false,,,
1579296326771445,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.87.99.68,,,,56665,443(https),525527715,2882323731,8,false,false,false,false,true,false,,,
1579296326785846,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399468958,4253402373,8,false,false,false,false,true,false,,,
1579296326833976,200,200,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.87.99.68,,,,56665,443(https),525527715,2882323731,8,false,false,false,true,true,false,134,16:03:01:00:46:10:00:00:42:,
1579296326857374,125,125,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.87.99.68,192.168.144.25,,,,443(https),56665,2882323731,525527849,8,false,false,false,true,true,false,59,14:03:01:00:01:01:16:03:01:,
1579296326864816,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.87.99.68,,,,56665,443(https),525527849,2882323790,8,false,false,false,false,true,false,,,
1579296326867526,140,140,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.87.99.68,,,,56665,443(https),525527849,2882323790,8,false,false,false,true,true,false,74,17:03:01:00:20:bd:a2:7b:29:,
1579296326890901,119,119,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.87.99.68,192.168.144.25,,,,443(https),56665,2882323790,525527923,8,false,false,false,true,true,false,53,17:03:01:00:30:2c:e9:c2:17:,
1579296326890918,103,103,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.87.99.68,192.168.144.25,,,,443(https),56665,2882323843,525527923,8,true,false,false,true,true,false,37,15:03:01:00:20:7b:a7:64:18:,
1579296326905366,70,70,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,60000,3468(ttcmremotectrl),36,,,,,,,,,,,,28,00:01:00:08:21:12:a4:42:9e:,
1579296326911333,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.87.99.68,,,,56665,443(https),525527923,2882323881,8,false,false,true,false,true,false,,,
1579296326928573,150,150,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,UDP,3.215.71.47,192.168.144.25,3468(ttcmremotectrl),60000,116,,,,,,,,,,,,108,01:01:00:58:21:12:a4:42:9e:,
1579296327867040,60,60,00:16:6c:00:00:00,ff:ff:ff:ff:ff:ff,ARP,0,,,,,,,,,,,,,,,,,,,18,00:00:00:00:00:00:00:00:00:,
1579296329146484,893,893,00:16:6c:00:00:00,01:00:5e:00:00:fb,IPv4,0,5,UDP,192.168.144.25,224.0.0.251,5353(mdns),5353(mdns),859,,,,,,,,,,,,851,00:00:84:00:00:00:00:12:00:,
1579296332897846,60,60,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,192.168.144.1,33473,5351(pcp),10,,,,,,,,,,,,2,00:00:,
1579296332897916,72,72,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,ICMPv4,192.168.144.1,192.168.144.25,,,,,,,,,,,,,,,30,45:00:00:1e:a0:86:40:00:40:,
